2018/12/20 Aircraft: ['Bell 407']                            , Dep:   32S3, Arr:   S691, Flight Time: 00:06:40, Errors:   1, Landing: B,   114 ft/min,  1.38g,   0 bounce(s)
2018/12/20 Aircraft: ['Bell 407']                            , Dep:   S691, Arr:   3U93, Flight Time: 00:05:48, Errors:   0, Landing: C,   118 ft/min,  2.27g,   0 bounce(s)
2018/12/20 Aircraft: ['Bell 407']                            , Dep:   3U93, Arr:   7S13, Flight Time: 01:14:23, Errors:   0, Landing: B,   155 ft/min,  1.58g,   0 bounce(s)
2018/12/21 Aircraft: ['Bonanza F33A for X-Plane 11']         , Dep:   WA68, Arr:   KPSC, Flight Time: 00:23:35, Errors:   9, Landing: D,   136 ft/min,  3.7 g,   3 bounce(s)
2018/12/21 Aircraft: ['Bonanza F33A for X-Plane 11']         , Dep:   KPSC, Arr:   OR64, Flight Time: 00:00:20, Errors:   6, Landing: C,  1015 ft/min,  2.11g,   2 bounce(s)
2018/12/21 Aircraft: ['Bell 407']                            , Dep:   7S14, Arr:   3U93, Flight Time: 00:05:16, Errors:   0, Landing: A,    67 ft/min,  1.19g,   0 bounce(s)
2018/12/21 Aircraft: ['Bell 407']                            , Dep:   3U93, Arr:   9S53, Flight Time: 00:06:22, Errors:   3, Landing: A,    67 ft/min,  1.15g,   1 bounce(s)
2018/12/21 Aircraft: ['Bell 407']                            , Dep:   9S53, Arr:   3U91, Flight Time: 00:04:29, Errors:   2, Landing: A,    89 ft/min,  1.38g,   0 bounce(s)
2018/12/21 Aircraft: ['Bell 407']                            , Dep:   3U91, Arr:  MT183, Flight Time: 00:30:57, Errors:   1, Landing: B,   170 ft/min,  1.59g,   1 bounce(s)
2018/12/21 Aircraft: ['Bell 407']                            , Dep:  MT183, Arr:   3U92, Flight Time: 00:38:09, Errors:   0, Landing: C,   171 ft/min,  2.46g,   0 bounce(s)
2018/12/21 Aircraft: ['Bell 407']                            , Dep:   3U92, Arr:   S691, Flight Time: 00:06:50, Errors:   2, Landing: A,    92 ft/min,  1.18g,   0 bounce(s)
2018/12/21 Aircraft: ['Bell 407']                            , Dep:   S691, Arr:   8U82, Flight Time: 00:06:07, Errors:   1, Landing: B,   210 ft/min,  1.60g,   2 bounce(s)
2018/12/21 Aircraft: ['Bell 407']                            , Dep:   8U82, Arr:  MT072, Flight Time: 00:09:18, Errors:   2, Landing: F,   211 ft/min,  5.33g,   1 bounce(s)
2018/12/22 Aircraft: ['Bell 407']                            , Dep:   6S31, Arr:  MT073, Flight Time: 00:14:29, Errors:   4, Landing: C,   222 ft/min,  2.61g,   1 bounce(s)
2018/12/22 Aircraft: ['Bell 407']                            , Dep:  MT073, Arr:   8U83, Flight Time: 00:05:43, Errors:   0, Landing: B,   196 ft/min,  1.63g,   0 bounce(s)
2018/12/22 Aircraft: ['Bell 407']                            , Dep:   8U83, Arr:   S691, Flight Time: 00:05:47, Errors:   0, Landing: C,   257 ft/min,  1.77g,   1 bounce(s)
2018/12/26 Aircraft: ['Bonanza F33A for X-Plane 11']         , Dep:    07E, Arr:   KPGA, Flight Time: 00:10:25, Errors:   2, Landing: B,   108 ft/min,  1.72g,   1 bounce(s)
2018/12/26 Aircraft: ['Bonanza F33A for X-Plane 11']         , Dep:   KPGA, Arr:   KGNG, Flight Time: 00:25:59, Errors:  18, Landing: A,    75 ft/min,  1.19g,   0 bounce(s)
2018/12/27 Aircraft: ['Dornier Do 228']                      , Dep:   MM1N, Arr:   MMZH, Flight Time: 00:19:12, Errors:   1, Landing: B,   197 ft/min,  1.55g,   0 bounce(s)
2018/12/27 Aircraft: ['Dornier Do 228']                      , Dep:   MMZH, Arr:   MMCN, Flight Time: 00:55:03, Errors:   0, Landing: B,   151 ft/min,  1.17g,   0 bounce(s)
2018/12/28 Aircraft: ['Bae Jetstream 32. X-Plane 11 V.1.1']  , Dep:   MMCN, Arr:   KCHD, Flight Time: 00:22:46, Errors:   0, Landing: B,   249 ft/min,  1.37g,   1 bounce(s)
2018/12/28 Aircraft: ['Bae Jetstream 32. X-Plane 11 V.1.1']  , Dep:   KCHD, Arr:    5S6, Flight Time: 00:48:17, Errors:   2, Landing: B,   241 ft/min,  1.80g,   0 bounce(s)
2018/12/29 Aircraft: ['Bell 407']                            , Dep:   CZST, Arr:   PAKT, Flight Time: 00:12:59, Errors:   1, Landing: B,   164 ft/min,  1.55g,   0 bounce(s)
